date,hour,count
2019/1/1,0,10643
2019/1/1,1,11734
2019/1/1,2,9524
2019/1/1,3,7253
2019/1/1,4,4346
2019/1/1,5,1890
2019/1/1,6,1527
2019/1/1,7,1768
2019/1/1,8,1790
2019/1/1,9,2603
2019/1/1,10,3789
2019/1/1,11,5603
2019/1/1,12,6650
2019/1/1,13,7158
2019/1/1,14,7638
2019/1/1,15,8298
2019/1/1,16,7717
2019/1/1,17,7753
2019/1/1,18,7635
2019/1/1,19,6413
2019/1/1,20,5581
2019/1/1,21,5177
2019/1/1,22,4133
2019/1/1,23,2690
2019/1/2,0,1764
2019/1/2,1,959
2019/1/2,2,596
2019/1/2,3,445
2019/1/2,4,548
2019/1/2,5,1477
2019/1/2,6,4497
2019/1/2,7,6729
2019/1/2,8,8514
2019/1/2,9,8224
2019/1/2,10,7901
2019/1/2,11,8329
2019/1/2,12,8619
2019/1/2,13,8908
2019/1/2,14,9237
2019/1/2,15,9543
2019/1/2,16,9011
2019/1/2,17,10483
2019/1/2,18,11074
2019/1/2,19,9423
2019/1/2,20,7955
2019/1/2,21,7541
2019/1/2,22,6116
2019/1/2,23,4004
2019/1/3,0,2578
2019/1/3,1,1563
2019/1/3,2,899
2019/1/3,3,622
2019/1/3,4,682
2019/1/3,5,1712
2019/1/3,6,4757
2019/1/3,7,7427
2019/1/3,8,9529
2019/1/3,9,9382
2019/1/3,10,8853
2019/1/3,11,9105
2019/1/3,12,9716
2019/1/3,13,9702
2019/1/3,14,10443
2019/1/3,15,10553
2019/1/3,16,9610
2019/1/3,17,11175
2019/1/3,18,12639
2019/1/3,19,11409
2019/1/3,20,9899
2019/1/3,21,10159
2019/1/3,22,7822
2019/1/3,23,5346
2019/1/4,0,3405
2019/1/4,1,2038
2019/1/4,2,1254
2019/1/4,3,785
2019/1/4,4,748
2019/1/4,5,1633
2019/1/4,6,4813
2019/1/4,7,7781
2019/1/4,8,9675
2019/1/4,9,9860
2019/1/4,10,9084
2019/1/4,11,9162
2019/1/4,12,9679
2019/1/4,13,9984
2019/1/4,14,10875
2019/1/4,15,10605
2019/1/4,16,9995
2019/1/4,17,11758
2019/1/4,18,13224
2019/1/4,19,12268
2019/1/4,20,10274
2019/1/4,21,9919
2019/1/4,22,10199
2019/1/4,23,8801
2019/1/5,0,7965
2019/1/5,1,6484
2019/1/5,2,4652
2019/1/5,3,2897
2019/1/5,4,1504
2019/1/5,5,898
2019/1/5,6,1638
2019/1/5,7,3004
2019/1/5,8,4780
2019/1/5,9,7170
2019/1/5,10,9377
2019/1/5,11,11055
2019/1/5,12,11481
2019/1/5,13,10972
2019/1/5,14,10653
2019/1/5,15,12497
2019/1/5,16,11792
2019/1/5,17,11129
2019/1/5,18,11454
2019/1/5,19,11183
2019/1/5,20,8954
2019/1/5,21,9320
2019/1/5,22,10183
2019/1/5,23,9803
2019/1/6,0,8363
2019/1/6,1,7335
2019/1/6,2,5709
2019/1/6,3,3831
2019/1/6,4,1825
2019/1/6,5,751
2019/1/6,6,1213
2019/1/6,7,2151
2019/1/6,8,3761
2019/1/6,9,5573
2019/1/6,10,7999
2019/1/6,11,9322
2019/1/6,12,10246
2019/1/6,13,10403
2019/1/6,14,10211
2019/1/6,15,10729
2019/1/6,16,10508
2019/1/6,17,10454
2019/1/6,18,10003
2019/1/6,19,8470
2019/1/6,20,7553
2019/1/6,21,6368
2019/1/6,22,4873
2019/1/6,23,3496
2019/1/7,0,1900
2019/1/7,1,1145
2019/1/7,2,748
2019/1/7,3,506
2019/1/7,4,614
2019/1/7,5,1753
2019/1/7,6,5430
2019/1/7,7,9733
2019/1/7,8,11738
2019/1/7,9,10525
2019/1/7,10,9270
2019/1/7,11,8927
2019/1/7,12,9514
2019/1/7,13,9329
2019/1/7,14,10280
2019/1/7,15,11144
2019/1/7,16,9932
2019/1/7,17,11928
2019/1/7,18,13290
2019/1/7,19,12023
2019/1/7,20,10023
2019/1/7,21,8417
2019/1/7,22,6488
2019/1/7,23,4637
2019/1/8,0,2526
2019/1/8,1,1234
2019/1/8,2,738
2019/1/8,3,530
2019/1/8,4,645
2019/1/8,5,1781
2019/1/8,6,5603
2019/1/8,7,9993
2019/1/8,8,12092
2019/1/8,9,10875
2019/1/8,10,9605
2019/1/8,11,9471
2019/1/8,12,9803
2019/1/8,13,9841
2019/1/8,14,10762
2019/1/8,15,11034
2019/1/8,16,9845
2019/1/8,17,11991
2019/1/8,18,13344
2019/1/8,19,12206
2019/1/8,20,11286
2019/1/8,21,10320
2019/1/8,22,8029
2019/1/8,23,5912
2019/1/9,0,3004
2019/1/9,1,1501
2019/1/9,2,969
2019/1/9,3,692
2019/1/9,4,701
2019/1/9,5,1793
2019/1/9,6,5817
2019/1/9,7,10391
2019/1/9,8,12281
2019/1/9,9,11127
2019/1/9,10,10154
