starting_time,ending_time,starting_point,ending_point
2015-01-01 18:14:30,2015-01-01 18:19:06,236,237
2017-01-01 18:43:51,2017-01-01 19:00:41,186,48
2018-01-01 18:35:06,2018-01-01 18:46:20,237,186
2015-01-01 18:26:41,2015-01-01 18:34:09,236,239
2019-01-01 18:22:54,2019-01-01 18:33:25,142,236
2016-01-01 18:06:02,2016-01-01 18:12:06,163,142
2017-01-01 18:36:17,2017-01-01 18:45:14,231,113
2015-01-01 18:20:51,2015-01-01 18:29:52,237,43
2019-01-01 18:29:39,2019-01-01 18:42:23,231,170
2018-01-01 18:11:29,2018-01-01 18:18:40,237,161
2016-01-01 18:34:14,2016-01-01 18:38:37,140,236
2015-01-01 18:24:39,2015-01-01 18:28:53,79,113
2019-01-01 18:04:54,2019-01-01 18:13:02,48,142
2015-01-01 18:38:57,2015-01-01 18:44:00,142,48
2015-01-01 18:05:57,2015-01-01 18:13:59,186,170
2015-01-01 18:14:21,2015-01-01 18:24:23,239,237
2015-01-01 18:44:19,2015-01-01 18:51:31,48,142
2017-01-01 18:43:37,2017-01-01 19:00:11,234,48
2015-01-01 18:43:21,2015-01-01 18:58:04,113,161
2017-01-01 18:53:07,2017-01-01 18:55:22,79,234
2015-01-01 18:15:19,2015-01-01 18:22:56,237,140
2015-01-01 18:24:08,2015-01-01 18:35:59,68,79
2015-01-01 18:08:34,2015-01-01 18:12:19,163,142
2015-01-01 18:27:19,2015-01-01 18:30:45,236,239
2015-01-01 18:37:42,2015-01-01 18:50:00,142,140
2017-01-01 18:58:10,2017-01-01 19:08:50,68,48
2019-01-01 18:16:12,2019-01-01 18:21:51,50,142
2019-01-01 18:09:17,2019-01-01 18:18:41,142,236
2015-01-01 18:17:33,2015-01-01 18:23:42,236,43
2015-01-01 18:29:25,2015-01-01 18:34:00,161,170
2018-01-01 18:58:45,2018-01-01 19:07:46,163,142
2016-01-01 18:32:33,2016-01-01 18:36:21,239,142
2017-01-01 18:52:34,2017-01-01 19:06:57,236,163
2019-01-01 18:39:04,2019-01-01 18:50:03,48,163
2016-01-01 18:07:59,2016-01-01 18:24:07,43,161
2015-01-01 18:10:12,2015-01-01 18:15:40,48,163
2016-01-01 18:39:35,2016-01-01 18:48:29,43,161
2016-01-01 18:53:37,2016-01-01 19:06:49,142,48
2016-01-01 18:53:30,2016-01-01 19:01:04,234,186
2017-01-01 18:15:36,2017-01-01 18:23:56,236,239
2017-01-01 18:49:02,2017-01-01 19:00:39,142,161
2015-01-01 18:53:25,2015-01-01 19:07:33,237,234
2015-01-01 18:10:04,2015-01-01 18:24:02,170,79
2019-01-01 18:11:47,2019-01-01 18:16:22,237,142
2018-01-01 18:59:39,2018-01-01 19:20:20,74,50
2019-01-01 18:51:54,2019-01-01 18:52:25,237,236
2017-01-01 18:27:10,2017-01-01 18:45:34,239,48
2016-01-01 18:21:12,2016-01-01 18:29:41,170,234
2016-01-01 18:29:36,2016-01-01 18:39:48,68,231
2016-01-01 18:15:47,2016-01-01 18:30:45,43,161
2017-01-01 18:16:59,2017-01-01 18:20:49,237,236
2016-01-01 18:57:43,2016-01-01 19:06:26,237,163
2015-01-01 18:25:48,2015-01-01 18:27:50,236,237
2019-01-01 18:17:56,2019-01-01 18:27:43,239,237
2016-01-01 18:14:50,2016-01-01 18:22:44,142,50
2019-01-01 18:41:55,2019-01-01 18:45:13,239,142
2018-01-01 18:42:02,2018-01-01 18:51:14,234,68
2015-01-01 18:28:03,2015-01-01 18:39:56,239,163
2015-01-01 18:27:05,2015-01-01 18:33:12,163,48
2017-01-01 18:19:17,2017-01-01 18:24:22,142,48
2015-01-01 18:19:27,2015-01-01 18:21:57,170,234
2019-01-01 18:23:09,2019-01-01 18:27:20,186,170
2017-01-01 18:06:26,2017-01-01 18:24:57,231,161
2015-01-01 18:06:45,2015-01-01 18:14:59,140,74
2016-01-01 18:27:25,2016-01-01 18:38:06,161,142
2018-01-01 18:28:43,2018-01-01 18:35:11,234,170
2017-01-01 18:56:36,2017-01-01 19:00:27,48,142
2016-01-01 18:17:37,2016-01-01 18:26:29,237,163
2018-01-01 18:07:54,2018-01-01 18:12:12,41,74
2019-01-01 18:47:59,2019-01-01 19:00:25,170,68
2016-01-01 18:13:33,2016-01-01 18:17:23,186,48
2018-01-01 18:00:36,2018-01-01 18:08:35,237,142
2016-01-01 18:13:45,2016-01-01 18:31:18,163,186
2018-01-01 18:56:47,2018-01-01 19:03:29,48,142
2016-01-01 18:24:22,2016-01-01 18:29:54,236,239
2019-01-01 18:35:48,2019-01-01 18:52:34,48,243
2016-01-01 18:06:13,2016-01-01 18:13:16,142,237
2015-01-01 18:41:18,2015-01-01 18:43:17,234,113
2018-01-01 18:48:53,2018-01-01 18:58:13,43,236
2016-01-01 18:35:43,2016-01-01 18:43:44,48,68
2015-01-01 18:43:50,2015-01-01 18:52:50,142,43
2015-01-01 18:40:13,2015-01-01 18:46:49,161,43
2015-01-01 18:17:24,2015-01-01 18:28:57,142,140
2016-01-01 18:16:28,2016-01-01 18:32:41,48,161
2016-01-01 18:20:20,2016-01-01 18:22:50,236,237
2016-01-01 18:46:51,2016-01-01 18:52:55,161,163
2015-01-01 18:07:54,2015-01-01 18:11:21,113,234
2018-01-01 18:57:11,2018-01-01 19:09:02,170,50
2018-01-01 18:41:17,2018-01-01 18:50:45,236,142
2019-01-01 18:53:11,2019-01-01 19:05:16,186,79
2017-01-01 18:47:45,2017-01-01 18:50:23,48,68
2015-01-01 18:48:52,2015-01-01 18:55:13,236,142
2015-01-01 18:52:51,2015-01-01 18:57:41,50,142
2019-01-01 18:18:53,2019-01-01 18:25:18,142,236
2019-01-01 18:48:33,2019-01-01 18:57:00,186,170
2017-01-01 18:30:03,2017-01-01 18:41:45,113,161
2016-01-01 18:02:48,2016-01-01 18:11:29,170,186
2017-01-01 18:15:30,2017-01-01 18:20:34,186,170
2017-01-01 18:07:32,2017-01-01 18:11:50,163,236
2019-01-01 18:42:42,2019-01-01 19:09:23,186,48
2019-01-01 18:02:19,2019-01-01 18:19:18,186,43
2015-01-01 18:06:15,2015-01-01 18:27:32,163,48
2017-01-01 18:24:02,2017-01-01 18:35:53,163,140
2016-01-01 18:52:21,2016-01-01 18:59:31,231,113
2017-01-01 18:51:08,2017-01-01 19:04:30,186,239
2018-01-01 18:46:29,2018-01-01 19:00:00,161,170
2018-01-01 18:07:24,2018-01-01 18:13:22,234,170
2017-01-01 18:46:51,2017-01-01 19:04:41,43,161
2017-01-01 18:06:29,2017-01-01 18:18:21,186,170
2019-01-01 18:01:41,2019-01-01 18:11:57,231,68
2018-01-01 18:58:54,2018-01-01 19:02:37,43,239
2015-01-01 18:06:30,2015-01-01 18:10:19,237,236
2016-01-01 18:17:03,2016-01-01 18:23:43,237,48
2017-01-01 18:56:03,2017-01-01 19:10:44,186,142
2017-01-01 18:48:23,2017-01-01 18:55:34,234,186
2018-01-01 18:53:55,2018-01-01 19:13:50,231,163
2015-01-01 18:35:11,2015-01-01 18:40:57,50,48
2019-01-01 18:55:16,2019-01-01 19:14:36,43,161
2015-01-01 18:15:32,2015-01-01 18:23:27,48,68
2019-01-01 18:53:58,2019-01-01 19:19:24,163,231
2017-01-01 18:06:37,2017-01-01 18:15:08,237,142
2019-01-01 18:16:20,2019-01-01 18:36:22,88,48
2016-01-01 18:45:57,2016-01-01 18:55:23,142,48
2019-01-01 18:05:52,2019-01-01 18:20:08,231,48
2018-01-01 18:07:49,2018-01-01 18:13:25,140,236
2016-01-01 18:26:02,2016-01-01 18:47:55,74,186
2016-01-01 18:18:45,2016-01-01 18:25:30,161,142
2015-01-01 18:43:14,2015-01-01 18:53:51,113,140
2016-01-01 18:00:24,2016-01-01 18:09:22,161,113
2016-01-01 18:01:33,2016-01-01 18:06:49,163,142
2016-01-01 18:04:53,2016-01-01 18:13:27,170,113
2019-01-01 18:45:00,2019-01-01 18:47:55,142,239
2018-01-01 18:25:53,2018-01-01 18:37:07,237,186
2017-01-01 18:27:40,2017-01-01 18:34:59,237,142
2016-01-01 18:58:35,2016-01-01 19:09:09,41,74
2017-01-01 18:24:14,2017-01-01 18:52:20,163,113
2015-01-01 18:02:03,2015-01-01 18:07:32,163,237
2015-01-01 18:43:10,2015-01-01 19:03:03,161,231
2019-01-01 18:25:44,2019-01-01 18:35:54,163,239
2017-01-01 18:32:47,2017-01-01 18:46:05,48,231
2015-01-01 18:18:04,2015-01-01 18:27:17,186,142
2015-01-01 18:44:38,2015-01-01 18:55:54,48,186
2017-01-01 18:06:39,2017-01-01 18:10:02,68,234
2015-01-01 18:08:41,2015-01-01 18:15:03,74,140
2015-01-01 18:42:51,2015-01-01 18:53:17,79,68
2015-01-01 18:02:13,2015-01-01 18:14:45,239,48
2017-01-01 18:05:21,2017-01-01 18:18:51,79,231
2019-01-01 18:25:24,2019-01-01 18:40:40,239,170
